TopK=10

=== Yearly TopK Weight Stats ===
Year       | Avg Sum(Weights)     | Avg Sum(Squared)    
-------------------------------------------------------
1985       | 0.0000               | 0.0000              
1986       | 2.4908               | 0.7647              
1987       | 2.4877               | 0.7683              
1988       | 2.4765               | 0.7609              
1989       | 2.4789               | 0.7624              
1990       | 2.4768               | 0.7597              
1991       | 2.4781               | 0.7608              
1992       | 2.4810               | 0.7599              
1993       | 2.4820               | 0.7639              
1994       | 2.4874               | 0.7646              
1995       | 2.4864               | 0.7674              
1996       | 2.4874               | 0.7666              
1997       | 2.4914               | 0.7739              
1998       | 2.5014               | 0.7815              
1999       | 2.5080               | 0.7855              
2000       | 2.5141               | 0.7885              
2001       | 2.5232               | 0.7974              
2002       | 2.5258               | 0.8046              
2003       | 2.5326               | 0.8100              
2004       | 2.5306               | 0.8116              
2005       | 2.5306               | 0.8144              
2006       | 2.5358               | 0.8197              
2007       | 2.5427               | 0.8262              
2008       | 2.5465               | 0.8290              
2009       | 2.5441               | 0.8272              
2010       | 2.5436               | 0.8277              
2011       | 2.5415               | 0.8275              
2012       | 2.5408               | 0.8308              
2013       | 2.5386               | 0.8288              
2014       | 2.5404               | 0.8287              
2015       | 2.5444               | 0.8350              
2016       | 2.5433               | 0.8342              
2017       | 2.5414               | 0.8344              
2018       | 2.5349               | 0.8298              
2019       | 2.5377               | 0.8346              
2020       | 2.5330               | 0.8292              
2021       | 2.5312               | 0.8239              
2022       | 2.5274               | 0.8189              
2023       | 2.5230               | 0.8199              
2024       | 2.5090               | 0.8038              

=== Pairwise DF Sum ===
Year1      | Year2      | Sum(DF*DF)          
---------------------------------------------
1985       | 1985       | 0                   
1985       | 1986       | 0                   
1985       | 1987       | 0                   
1985       | 1988       | 0                   
1985       | 1989       | 0                   
1985       | 1990       | 0                   
1986       | 1985       | 0                   
1986       | 1986       | 51646               
1986       | 1987       | 42364               
1986       | 1988       | 44344               
1986       | 1989       | 39289               
1986       | 1990       | 45356               
1986       | 1991       | 50738               
1987       | 1985       | 0                   
1987       | 1986       | 42364               
1987       | 1987       | 67010               
1987       | 1988       | 51797               
1987       | 1989       | 45781               
1987       | 1990       | 53060               
1987       | 1991       | 59306               
1987       | 1992       | 75266               
1988       | 1985       | 0                   
1988       | 1986       | 44344               
1988       | 1987       | 51797               
1988       | 1988       | 72426               
1988       | 1989       | 48141               
1988       | 1990       | 55277               
1988       | 1991       | 62797               
1988       | 1992       | 78996               
1988       | 1993       | 82858               
1989       | 1985       | 0                   
1989       | 1986       | 39289               
1989       | 1987       | 45781               
1989       | 1988       | 48141               
1989       | 1989       | 59028               
1989       | 1990       | 49413               
1989       | 1991       | 55833               
1989       | 1992       | 71219               
1989       | 1993       | 76460               
1989       | 1994       | 77199               
1990       | 1985       | 0                   
1990       | 1986       | 45356               
1990       | 1987       | 53060               
1990       | 1988       | 55277               
1990       | 1989       | 49413               
1990       | 1990       | 76080               
1990       | 1991       | 65392               
1990       | 1992       | 82929               
1990       | 1993       | 88052               
1990       | 1994       | 88221               
