Top 100 Frequent Words Per Year
============================================================

Year: 1985 (Total Docs: 1835)
------------------------------------------------------------
Rank  | Word                           | Doc Count  | Frequency (%)  
------------------------------------------------------------
1     | 中                              | 955        | 52.04          
2     | 采用                             | 645        | 35.15          
3     | 时                              | 412        | 22.45          
4     | 高                              | 409        | 22.29          
5     | 工艺                             | 369        | 20.11          
6     | 提高                             | 341        | 18.58          
7     | 温度                             | 314        | 17.11          
8     | 技术                             | 299        | 16.29          
9     | 利用                             | 288        | 15.69          
10    | 制造                             | 272        | 14.82          
11    | 控制                             | 268        | 14.60          
12    | 简单                             | 265        | 14.44          
13    | 之间                             | 260        | 14.17          
14    | 重量                             | 256        | 13.95          
15    | 生产                             | 255        | 13.90          
16    | 制成                             | 233        | 12.70          
17    | 材料                             | 233        | 12.70          
18    | 低                              | 222        | 12.10          
19    | 性能                             | 215        | 11.72          
20    | 设备                             | 208        | 11.34          
21    | 混合                             | 203        | 11.06          
22    | 表面                             | 202        | 11.01          
23    | 过程                             | 199        | 10.84          
24    | 成                              | 198        | 10.79          
25    | 原料                             | 194        | 10.57          
26    | 条件                             | 188        | 10.25          
27    | 式                              | 188        | 10.25          
28    | 金属                             | 186        | 10.14          
29    | 法                              | 186        | 10.14          
30    | 领域                             | 183        | 9.97           
31    | 工作                             | 180        | 9.81           
32    | 制备                             | 179        | 9.75           
33    | 型                              | 175        | 9.54           
34    | 含有                             | 173        | 9.43           
35    | 作用                             | 171        | 9.32           
36    | 作                              | 169        | 9.21           
37    | 特别                             | 168        | 9.16           
38    | 两个                             | 168        | 9.16           
39    | 固定                             | 163        | 8.88           
40    | 出                              | 160        | 8.72           
41    | 水                              | 159        | 8.66           
42    | 输出                             | 158        | 8.61           
43    | 操作                             | 155        | 8.45           
44    | 含                              | 154        | 8.39           
45    | 优点                             | 152        | 8.28           
46    | 解决                             | 151        | 8.23           
47    | 降低                             | 150        | 8.17           
48    | 新                              | 150        | 8.17           
49    | 产品                             | 150        | 8.17           
50    | 分离                             | 148        | 8.07           
51    | 溶液                             | 147        | 8.01           
52    | 均                              | 147        | 8.01           
53    | 所说                             | 145        | 7.90           
54    | 安装                             | 144        | 7.85           
55    | 装有                             | 142        | 7.74           
56    | 量                              | 140        | 7.63           
57    | 时间                             | 140        | 7.63           
58    | 加工                             | 139        | 7.57           
59    | 压力                             | 139        | 7.57           
60    | 调节                             | 138        | 7.52           
61    | 合成                             | 136        | 7.41           
62    | 加热                             | 134        | 7.30           
63    | 外                              | 134        | 7.30           
64    | 自动                             | 131        | 7.14           
65    | 器                              | 130        | 7.08           
66    | 效果                             | 130        | 7.08           
67    | 测量                             | 129        | 7.03           
68    | 机构                             | 128        | 6.98           
69    | 含量                             | 124        | 6.76           
70    | 设计                             | 124        | 6.76           
71    | 均匀                             | 122        | 6.65           
72    | 小时                             | 121        | 6.59           
73    | 电路                             | 121        | 6.59           
74    | 机械                             | 120        | 6.54           
75    | 连续                             | 120        | 6.54           
76    | 带有                             | 119        | 6.49           
77    | 剂                              | 116        | 6.32           
78    | 信号                             | 115        | 6.27           
79    | 相                              | 113        | 6.16           
80    | 输入                             | 111        | 6.05           
81    | 稳定                             | 110        | 5.99           
82    | 带                              | 109        | 5.94           
83    | 电                              | 109        | 5.94           
84    | 现有                             | 108        | 5.89           
85    | 方式                             | 108        | 5.89           
86    | 位置                             | 106        | 5.78           
87    | 两                              | 104        | 5.67           
88    | 二                              | 103        | 5.61           
89    | 方向                             | 101        | 5.50           
90    | 强度                             | 101        | 5.50           
91    | 减少                             | 101        | 5.50           
92    | 成本                             | 101        | 5.50           
